pair,count
"('fire nation watchman #1', 'fire nation watchman #2')",1
"('aang', 'fire nation watchman #1')",1
"('ember island teenager #1', 'ty lee')",3
"('ember island teenager #1', 'ember island teenager #2')",3
"('ember island teenager #2', 'ty lee')",2
"('azula', 'chan')",6
"('azula', 'ruon-jian')",1
"('chan', 'ruon-jian')",2
"('chan', 'ty lee')",1
"('ruon-jian', 'ty lee')",1
"('ruon-jian', 'zuko')",3
"('mai', 'ruon-jian')",2
"('ember island teenager #2', 'ember island teenager #3')",2
"('ember island teenager #1', 'ember island teenager #3')",2
"('azula', 'ember island teenager #2')",1
"('azula', 'ember island teenager #1')",1
"('ember island teenager #3', 'ty lee')",1
"('azula', 'ember island teenager #3')",1
"('chan', 'zuko')",1
"('chan', 'mai')",1
"('aang', 'sozin')",1
"('roku', 'sozin')",7
"('fire sage', 'sozin')",1
"('gyatso', 'roku')",1
"('sozin', 'ta min')",1
"('dealer', 'toph')",3
"('aang', 'dealer')",1
"('katara', 'town authority')",1
"('female guard', 'toph')",1
"('toph', 'yue')",1
"('roku', 'toph')",1
"('roku', 'yue')",1
"('aang', 'hama')",4
"('hama', 'toph')",2
"('hama', 'sokka')",9
"('hama', 'katara')",11
"('shop owner', 'villager')",1
"('toph', 'villager')",1
"('sokka', 'villager')",1
"('aang', 'ding')",2
"('ding', 'sokka')",1
"('ding', 'toph')",1
"('male prisoner #1', 'male prisoner #2')",1
"('aang', 'male prisoner #1')",1
"('female prisoner', 'male prisoner #1')",1
"('male prisoner #1', 'toph')",1
"('male prisoner #1', 'sokka')",1
"('aang', 'male prisoner #2')",1
"('female prisoner', 'male prisoner #2')",1
"('male prisoner #2', 'toph')",1
"('male prisoner #2', 'sokka')",1
"('aang', 'female prisoner')",1
"('female prisoner', 'toph')",1
"('female prisoner', 'sokka')",1
"('hama', 'male prisoner #1')",1
"('servant #1', 'zuko')",1
"('servant', 'zuko')",2
"('mai', 'servant')",1
"('aang', 'momo')",2
"('aang', 'appa')",1
"('appa', 'toph')",1
"('appa', 'sokka')",1
"('appa', 'katara')",1
"('appa', 'momo')",1
"('momo', 'toph')",1
"('momo', 'sokka')",1
"('katara', 'momo')",1
"('aang', 'ozai')",6
"('ozai', 'toph')",3
"('ozai', 'sokka')",3
"('katara', 'ozai')",2
"('huu', 'tho')",1
"('bato', 'huu')",1
"('hakoda', 'huu')",1
"('bato', 'due')",1
"('due', 'hakoda')",1
"('bato', 'tho')",1
"('hakoda', 'tho')",2
"('big bad hippo', 'toph')",1
"('big bad hippo', 'the boulder')",1
"('teo', 'the duke')",3
"('sokka', 'the duke')",3
"('mechanist', 'the duke')",1
"('pipsqueak', 'teo')",1
"('mechanist', 'pipsqueak')",1
"('iroh', 'warden poon')",1
"('ming', 'warden poon')",1
"('iroh', 'ming')",2
"('hakoda', 'the boulder')",1
"('the duke', 'toph')",1
"('hakoda', 'toph')",2
"('bato', 'tyro')",2
"('azula', 'sokka')",4
"('azula', 'toph')",3
"('fire nation soldier', 'tyro')",1
"('warden poon', 'zuko')",1
"('hakoda', 'tyro')",1
"('the duke', 'tyro')",1
"('haru', 'the duke')",2
"('pipsqueak', 'tyro')",1
"('haru', 'pipsqueak')",1
"('azula', 'fire nation soldier')",1
"('aang', 'fire nation soldier')",1
"('haru', 'teo')",3
"('toph', 'zuko')",23
"('sun warrior chief', 'zuko')",5
"('ham ghao', 'zuko')",1
"('aang', 'sun warrior chief')",5
"('ham ghao', 'sun warrior chief')",3
"('aang', 'ham ghao')",2
"('bully guard', 'chit sang')",4
"('chit sang', 'zuko')",5
"('bully guard', 'zuko')",1
"('chit sang', 'sokka')",8
"('bully guard', 'sokka')",4
"('male guard', 'zuko')",5
"('female guard', 'male guard')",3
"('female guard', 'zuko')",3
"('chit sang', 'warden')",4
"('bully guard', 'warden')",3
"('female guard', 'sokka')",3
"('warden', 'zuko')",1
"('suki', 'zuko')",18
"('chit sang', 'suki')",3
"('male guard', 'sokka')",6
"('male guard #2', 'warden')",1
"('male guard', 'suki')",2
"('hakoda', 'warden')",2
"('bogyguard #2', 'warden')",1
"('bodyguard #2', 'warden')",1
"('azula', 'warden')",2
"('azula', 'bully guard')",1
"('door guard', 'sokka')",1
"('suki', 'tough prisoner')",1
"('sokka', 'tough prisoner')",1
"('hakoda', 'tough prisoner')",2
"('hakoda', 'suki')",2
"('tough prisoner', 'warden')",1
"('male guard #2', 'zuko')",1
"('mai', 'male guard #2')",1
"('suki', 'warden')",1
"('hakoda', 'zuko')",2
"('gondola guard #2', 'warden')",1
"('gondola guard', 'gondola guard #2')",1
"('gondola guard', 'warden')",1
"('azula', 'gondola guard #4')",1
"('chit sang', 'hakoda')",1
"('chit sang', 'katara')",1
"('kya', 'yon rha')",3
"('katara', 'kya')",2
"('katara', 'yon rha')",5
"('southern raiders commander', 'zuko')",3
"('yon rha', ""yon rha's mother"")",1
"('yon rha', 'zuko')",1
"('actor sokka', 'actress katara')",5
"('actress katara', 'sokka')",2
"('actress katara', 'toph')",2
"('actor sokka', 'sokka')",6
"('actor sokka', 'toph')",2
"('aang', 'actress katara')",1
"('actress aang', 'actress katara')",4
"('aang', 'actress aang')",3
"('actor sokka', 'actress aang')",3
"('actress aang', 'toph')",4
