character,dialogue_count,scene_count,episode_count,arc_presence,positive_proportion,negative_proportion,neutral_proportion
southern raiders commander,31,4,1,Fire,0.0,1.0,0.0
yon rha's mother,44,1,1,Fire,0.0,1.0,0.0
actress katara,199,13,1,Fire,0.5628140703517588,0.4371859296482412,0.0
actor sokka,153,13,1,Fire,0.27450980392156865,0.7254901960784313,0.0
actress aang,159,18,2,Fire,0.34591194968553457,0.6540880503144654,0.0
actor iroh,45,5,1,Fire,0.4888888888888889,0.5111111111111111,0.0
actor zuko,108,11,1,Fire,0.4166666666666667,0.5833333333333334,0.0
actor bumi,14,1,1,Fire,1.0,0.0,0.0
blue spirit,15,1,1,Fire,1.0,0.0,0.0
actor jet,21,2,1,Fire,0.0,1.0,0.0
actress yue,18,1,1,Fire,1.0,0.0,0.0
actor toph,64,2,1,Fire,0.78125,0.21875,0.0
actress azula,87,9,1,Fire,0.10344827586206896,0.896551724137931,0.0
young boy,12,1,1,Fire,0.0,1.0,0.0
actor ozai,82,4,1,Fire,0.7317073170731707,0.2682926829268293,0.0
crowd,14,1,1,Fire,0.0,1.0,0.0
kuruk,78,1,1,Fire,0.0,1.0,0.0
yangchen,90,1,1,Fire,0.7111111111111111,0.28888888888888886,0.0
lion turtle,78,4,2,Fire,0.782051282051282,0.21794871794871795,0.0
banished servant,33,1,1,Fire,0.3939393939393939,0.6060606060606061,0.0
head of dai li,28,1,1,Fire,0.5714285714285714,0.42857142857142855,0.0
qin lee,10,1,1,Fire,1.0,0.0,0.0
