arc,character,dialogue_count,scene_count,episode_count,positive_proportion,negative_proportion,neutral_proportion
Fire,the boulder,37,2,1,0.4864864864864865,0.5135135135135135,0.0
Fire,mechanist,112,6,2,0.30357142857142855,0.6964285714285714,0.0
Fire,the duke,22,6,3,0.8181818181818182,0.18181818181818182,0.0
Fire,teo,71,6,3,0.8732394366197183,0.1267605633802817,0.0
Fire,ming,33,2,1,0.9696969696969697,0.030303030303030304,0.0
Fire,fire nation captain,9,1,1,0.0,1.0,0.0
Fire,qin,21,1,1,1.0,0.0,0.0
Fire,fire nation soldier,11,2,1,0.5454545454545454,0.45454545454545453,0.0
Fire,sun warrior chief,339,12,1,0.5811209439528023,0.41887905604719766,0.0
Fire,ham ghao,32,3,1,0.71875,0.28125,0.0
Fire,sun warrior,15,1,1,1.0,0.0,0.0
Fire,male guard,118,11,2,0.559322033898305,0.4406779661016949,0.0
Fire,chit sang,245,15,2,0.4448979591836735,0.5551020408163265,0.0
Fire,bully guard,117,9,2,0.5128205128205128,0.48717948717948717,0.0
Fire,warden,459,21,2,0.4226579520697168,0.5773420479302832,0.0
Fire,suki,457,45,8,0.44638949671772427,0.5536105032822757,0.0
Fire,male guard #2,34,2,2,0.3235294117647059,0.6764705882352942,0.0
Fire,bodyguard,6,1,1,1.0,0.0,0.0
Fire,bogyguard #2,4,1,1,1.0,0.0,0.0
Fire,bodyguard #2,12,2,1,1.0,0.0,0.0
Fire,door guard,26,1,1,0.3076923076923077,0.6923076923076923,0.0
Fire,tough prisoner,32,2,1,0.4375,0.5625,0.0
Fire,gondola guard,16,1,1,0.5625,0.4375,0.0
Fire,gondola guard #2,11,1,1,0.0,1.0,0.0
Fire,gondola guard #3,4,1,1,0.0,1.0,0.0
Fire,gondola guard #4,7,1,1,0.0,1.0,0.0
Fire,kya,78,3,1,0.5128205128205128,0.48717948717948717,0.0
Fire,yon rha,148,11,1,0.527027027027027,0.47297297297297297,0.0
Fire,soldier,11,1,1,1.0,0.0,0.0
Fire,southern raiders commander,31,4,1,0.0,1.0,0.0
Fire,yon rha's mother,44,1,1,0.0,1.0,0.0
Fire,actress katara,199,13,1,0.5628140703517588,0.4371859296482412,0.0
Fire,actor sokka,153,13,1,0.27450980392156865,0.7254901960784313,0.0
Fire,actress aang,159,18,2,0.34591194968553457,0.6540880503144654,0.0
Fire,actor iroh,45,5,1,0.4888888888888889,0.5111111111111111,0.0
Fire,actor zuko,108,11,1,0.4166666666666667,0.5833333333333334,0.0
Fire,actor bumi,14,1,1,1.0,0.0,0.0
Fire,blue spirit,15,1,1,1.0,0.0,0.0
Fire,actor jet,21,2,1,0.0,1.0,0.0
Fire,actress yue,18,1,1,1.0,0.0,0.0
Fire,actor toph,64,2,1,0.78125,0.21875,0.0
Fire,actress azula,87,9,1,0.10344827586206896,0.896551724137931,0.0
Fire,young boy,12,1,1,0.0,1.0,0.0
Fire,actor ozai,82,4,1,0.7317073170731707,0.2682926829268293,0.0
Fire,shinu,56,1,1,0.08928571428571429,0.9107142857142857,0.0
Fire,crowd,14,1,1,0.0,1.0,0.0
Fire,june,104,7,1,0.6826923076923077,0.3173076923076923,0.0
Fire,bumi,135,7,2,0.6370370370370371,0.362962962962963,0.0
Fire,pakku,53,2,2,0.8490566037735849,0.1509433962264151,0.0
Fire,jeong jeong,30,1,1,0.06666666666666667,0.9333333333333333,0.0
Fire,kyoshi,58,1,1,1.0,0.0,0.0
Fire,firebender,6,1,1,1.0,0.0,0.0
Fire,kuruk,78,1,1,0.0,1.0,0.0
Fire,yangchen,90,1,1,0.7111111111111111,0.28888888888888886,0.0
Fire,lion turtle,78,4,2,0.782051282051282,0.21794871794871795,0.0
Fire,banished servant,33,1,1,0.3939393939393939,0.6060606060606061,0.0
